Unnamed: 0,track_id,track_name,release_date,artist_id,artist_name,popularity,followers,record_label,danceability,energy,instrumentalness,valence,tempo,tempo_adjusted,year
7565,1WsIk6g7dD8LZouywnzGUb,Talibans II - Bonus Track,2023-08-24,3wcj11K77LjEY1PkEazffa,Burna Boy,81,10322907,Warner Music Group,0.914,0.505,2.73e-06,0.54,102.937,1.0,2023
7585,4YQImHflXSiIMXntcwPkx8,Bongos (feat. Megan Thee Stallion),2023-09-08,4kYSro6naA4h99UJvo89HB,Cardi B,81,24527818,Warner Music Group,0.726,0.747,0.0,0.889,121.928,1.0,2023
7700,596qBkNP4ezd84Y2mqL2tM,La Bebe - David Guetta Remix,2023-10-20,1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,90,26286764,Warner Music Group,0.766,0.914,0.0,0.77,124.028,1.0,2023
7723,05WVKTdZhlIMX4qqMLuo0f,BELLAKEO,2023-12-07,7FNnA9vBm6EKceENgCGRMb,Anitta,82,12694725,Warner Music Group,0.72,0.88,0.06,0.463,180.011,0.5,2023
7771,5KI7I4mEtulXcv5VQJaV35,just like me,2024-01-12,3wcj11K77LjEY1PkEazffa,Burna Boy,81,10322907,Warner Music Group,0.701,0.653,2.82e-05,0.505,82.984,1.0,2024
7821,3ytbtkmMnkfwMrBi32a7FD,Like What (Freestyle),2024-03-01,4kYSro6naA4h99UJvo89HB,Cardi B,81,24527818,Warner Music Group,0.948,0.689,0.0,0.708,114.959,1.0,2024
7826,4XqBLxDaEdlqkHlSlb1Rzq,Enough (Miami),2024-03-15,4kYSro6naA4h99UJvo89HB,Cardi B,81,24527818,Warner Music Group,0.926,0.791,0.0,0.473,139.166,0.5,2024
7965,4w2GLmK2wnioVnb5CPQeex,360,2024-06-07,25uiPmTg16RbhZWAqwLBy5,Charli xcx,89,4251411,Warner Music Group,0.857,0.62,0.244,0.796,120.042,1.0,2024
7999,2moqbMnrdHd6lIUgsnBj7U,You Can't Stop The Reign (feat. The Notorious B.I.G.),2024-06-28,5me0Irg2ANcsgc93uaYrpb,The Notorious B.I.G.,80,10824019,Warner Music Group,0.448,0.604,0.0,0.598,79.344,1.0,2024
8077,2LUD3874dlzeRa34Hi7ohW,Talk talk featuring troye sivan,2024-09-12,25uiPmTg16RbhZWAqwLBy5,Charli xcx,89,4251411,Warner Music Group,0.731,0.817,6.13e-06,0.661,130.032,1.0,2024
